last_active,score,member_since,us_state,first_name,last_name,dob,state,company_name,source
2018/05/15,67,1984,Montana,Tanya,Cunningham,1967/10/26,MT,"Hopkins, Barnes and Ward",us_softball_league
2018/02/03,61,1979,Connecticut,Andrew,Smith,1984/11/08,CT,"Kelley, Gilbert and Jackson",us_softball_league
2018/11/17,85,2016,Connecticut,Peggy,Larson,1992/11/21,CT,"Mullen, Huffman and Vasquez",us_softball_league
2018/04/12,74,2014,Delaware,William,Johnson,1990/05/29,DE,Mcdonald Inc,us_softball_league
2018/06/20,35,1984,North Carolina,Joseph,Miller,1985/11/01,NC,"Smith, Torres and Matthews",us_softball_league
2018/09/07,84,1984,North Carolina,Jennifer,Solomon,1996/05/30,NC,Keller Group,us_softball_league
2018/02/27,95,2015,Texas,Angela,Robles,1990/08/24,TX,Keller Group,us_softball_league
2018/05/19,60,2013,Missouri,Mark,Davis,1968/02/24,MO,Hunter Ltd,us_softball_league
2018/10/20,38,2008,New York,Alexandra,Ruiz,1996/01/22,NY,Parker Group,us_softball_league
2018/03/17,98,2015,Idaho,Gail,Torres,1982/01/25,ID,Keller Group,us_softball_league
2018/12/18,39,2018,Arizona,Steven,Mayo,1976/02/09,AZ,"Kelley, Gilbert and Jackson",us_softball_league
2018/04/17,64,2009,Oregon,Stephanie,Moore,1963/05/02,OR,"Jackson, Carlson and Contreras",us_softball_league
2018/01/21,48,1986,Idaho,Juan,Lucas,1983/01/01,ID,"Smith, Torres and Matthews",us_softball_league
2018/06/09,82,1990,Nebraska,Kent,Hernandez,1979/04/20,NE,Taylor-Alvarez,us_softball_league
2018/04/18,62,2004,South Carolina,James,Knight,1974/03/23,SC,"Jackson, Carlson and Contreras",us_softball_league
2018/11/03,88,1999,Minnesota,Christopher,Harrison,1980/11/13,MN,"Brown, Vasquez and Sanchez",us_softball_league
2018/06/11,96,1982,Mississippi,Jennifer,Barber,1966/08/22,MS,Rivera-Morrow,us_softball_league
2018/02/21,67,1978,Mississippi,Sara,Anderson,1976/05/05,MS,,us_softball_league
2018/06/14,64,1990,South Carolina,Darlene,Alvarez,1996/11/28,SC,Hunter Ltd,us_softball_league
2018/09/29,36,1990,Louisiana,James,Turner,1964/10/16,LA,,us_softball_league
2018/05/01,53,1983,Connecticut,Amanda,Wood,1962/05/03,CT,"Brown, Vasquez and Sanchez",us_softball_league
2018/06/24,98,2001,Illinois,Kimberly,Anderson,1959/02/10,IL,"Mullen, Huffman and Vasquez",us_softball_league
2018/08/17,89,2006,New York,Susan,Bradley,1966/11/17,NY,Rivera Ltd,us_softball_league
2018/02/23,99,1986,Montana,Benjamin,Richardson,1961/07/20,MT,"Mullen, Huffman and Vasquez",us_softball_league
2018/01/27,77,2011,Alaska,Oscar,Coleman,1986/10/12,AK,"Alvarez, Schaefer and Robertson",us_softball_league
2018/06/05,50,1991,Michigan,Sheryl,Mcfarland,1976/12/08,MI,"Mullen, Huffman and Vasquez",us_softball_league
2018/02/11,61,2010,Texas,Jessica,Hansen,1988/10/09,TX,Rivera Ltd,us_softball_league
2018/02/11,97,2007,Alaska,Jennifer,Johnston,1991/12/25,AK,Hunter Ltd,us_softball_league
2018/12/05,63,2005,Georgia,Kimberly,Haynes,1971/11/06,GA,Mcdonald Inc,us_softball_league
2018/01/21,78,1972,Missouri,Sean,Beasley,1986/09/08,MO,"Mullen, Huffman and Vasquez",us_softball_league
2018/01/12,92,1978,South Carolina,Joanne,Kim,1988/04/26,SC,Williams-Stephenson,us_softball_league
2018/07/17,43,1974,Virginia,Deborah,Burke,1994/05/10,VA,Keller Group,us_softball_league
2018/07/05,41,2007,Alabama,Adrian,Griffin,1987/08/27,AL,"Jackson, Carlson and Contreras",us_softball_league
2018/08/25,57,1988,California,Debra,Huffman,1979/05/22,CA,Keller Group,us_softball_league
2018/04/17,99,1980,Texas,Paul,Freeman,1969/07/05,TX,"Martin, Mcknight and Clark",us_softball_league
2018/12/03,30,1987,New York,John,Ferrell,1963/04/12,NY,Taylor-Alvarez,us_softball_league
2018/11/28,41,2017,Texas,Alan,Booker,1986/04/04,TX,"Kelley, Gilbert and Jackson",us_softball_league
2018/07/22,84,1994,Tennessee,John,Bolton,1982/03/30,TN,Scott and Sons,us_softball_league
2018/04/03,93,2004,South Carolina,Frank,Bennett,1982/03/01,SC,"Jackson, Carlson and Contreras",us_softball_league
2018/08/16,36,1992,North Carolina,Shaun,Lewis,1991/12/22,NC,Rivera-Morrow,us_softball_league
2018/02/22,99,2018,Louisiana,Kevin,Brown,1965/04/26,LA,Peterson and Sons,us_softball_league
2018/05/12,34,1976,Alaska,Mark,Mann,1977/02/24,AK,Mcdonald Inc,us_softball_league
2018/04/14,77,1989,Kansas,James,Owens,1988/05/28,KS,Mcdonald Inc,us_softball_league
2018/05/07,97,1994,Oklahoma,Brittney,Hayes,1979/08/29,OK,Parker Group,us_softball_league
2018/03/20,62,1995,Alaska,Megan,Burns,1968/07/01,AK,"Hopkins, Barnes and Ward",us_softball_league
2018/05/23,33,2012,Florida,Heather,Martin,1996/05/13,FL,"Alvarez, Schaefer and Robertson",us_softball_league
2018/09/17,45,1979,New York,Mackenzie,Mcfarland,1979/12/07,NY,"Jackson, Carlson and Contreras",us_softball_league
2018/08/07,95,1983,New Hampshire,Luis,Mooney,1993/10/24,NH,Rivera-Morrow,us_softball_league
2018/12/01,71,1982,West Virginia,Kathy,Torres,1959/03/31,WV,Scott and Sons,us_softball_league
2018/11/16,42,1986,Pennsylvania,Emily,Hammond,1998/06/25,PA,Peterson and Sons,us_softball_league
2018/01/17,53,2014,Georgia,Rebekah,Murray,1975/02/14,GA,Scott and Sons,us_softball_league
2018/11/21,47,1978,Rhode Island,Rebecca,Cox,1988/11/18,RI,"Hopkins, Barnes and Ward",us_softball_league
2018/02/05,67,1986,Indiana,John,Alvarado,1960/06/03,IN,Hunter Ltd,us_softball_league
2018/08/10,72,2018,Tennessee,Rachel,Patterson,1963/11/09,TN,Hunter Ltd,us_softball_league
2018/07/25,31,2018,New Hampshire,Jonathan,Sharp,1994/05/05,NH,,us_softball_league
2018/09/18,40,1986,Virginia,Teresa,Martin,1983/01/05,VA,"Jackson, Carlson and Contreras",us_softball_league
2018/01/29,64,1990,Oklahoma,Patricia,Bartlett,1986/12/04,OK,"Martin, Mcknight and Clark",us_softball_league
2018/07/25,76,2015,Nevada,Maria,Beltran,1968/05/14,NV,Parker Group,us_softball_league
2018/04/16,45,2001,Kentucky,Andre,Davis,1964/11/12,KY,Scott and Sons,us_softball_league
2018/04/12,76,2015,Montana,Sara,Hall,1988/06/04,MT,"Kelley, Gilbert and Jackson",us_softball_league
2018/10/29,64,2002,South Dakota,Jamie,Bailey,1963/08/24,SD,Taylor-Alvarez,us_softball_league
2018/05/03,59,1981,New York,Donna,Martinez,1984/12/17,NY,"Brown, Vasquez and Sanchez",us_softball_league
2018/04/29,35,1989,Nevada,Kathy,Martinez,1968/02/18,NV,Mcdonald Inc,us_softball_league
2018/04/10,84,1974,Maine,Jesse,Thomas,1992/02/11,ME,"Martin, Mcknight and Clark",us_softball_league
2018/01/24,96,2000,Georgia,Dylan,Stephenson,1972/11/04,GA,Bruce Inc,us_softball_league
2018/04/14,40,2007,Oklahoma,Chelsea,Henderson,1987/06/24,OK,Taylor-Alvarez,us_softball_league
2018/04/16,87,1982,Louisiana,Amy,Fuller,1966/06/16,LA,Keller Group,us_softball_league
2018/02/09,89,2015,Massachusetts,Manuel,Wood,1959/04/05,MA,"Mullen, Huffman and Vasquez",us_softball_league
2018/11/29,41,2010,Illinois,Tyrone,Harrison,1993/11/25,IL,,us_softball_league
2018/09/20,43,1979,Kentucky,Sarah,Lee,1990/08/02,KY,"Kelley, Gilbert and Jackson",us_softball_league
2018/01/14,77,1971,Delaware,George,Gutierrez,1978/07/18,DE,"Hopkins, Barnes and Ward",us_softball_league
2018/02/15,89,2000,Texas,William,Ross,1968/11/10,TX,Bruce Inc,us_softball_league
2018/12/27,45,2002,Connecticut,Michael,Alexander,1979/02/21,CT,Parker Group,us_softball_league
2018/11/25,44,2004,Delaware,Michael,Martinez,1980/04/19,DE,Taylor-Alvarez,us_softball_league
2018/11/08,81,2016,Mississippi,Brian,Rodgers,1969/02/06,MS,"Hopkins, Barnes and Ward",us_softball_league
2018/04/23,38,1991,Oklahoma,Kathryn,Wilson,1960/10/08,OK,Keller Group,us_softball_league
2018/08/04,51,1971,Indiana,Bruce,Bradford,1988/10/25,IN,"Smith, Torres and Matthews",us_softball_league
2018/03/25,35,1978,Colorado,Summer,Swanson,1972/11/11,CO,"Smith, Torres and Matthews",us_softball_league
2018/03/23,99,1995,North Carolina,Crystal,Morgan,1981/08/20,NC,"Smith, Torres and Matthews",us_softball_league
2018/06/07,93,1993,Rhode Island,Gary,Rush,1962/08/14,RI,Rivera-Morrow,us_softball_league
2018/07/07,36,1979,Alabama,Jean,Orr,1960/10/15,AL,Rivera-Morrow,us_softball_league
2018/07/04,37,1974,Georgia,Erik,Williams,1968/05/09,GA,,us_softball_league
2018/12/19,55,2002,Wyoming,Douglas,Black,1980/06/20,WY,Rivera Ltd,us_softball_league
2018/10/17,80,2005,Minnesota,Whitney,Franklin,1971/09/01,MN,Rivera Ltd,us_softball_league
2018/12/14,80,1986,Michigan,Tiffany,Mitchell,1968/11/26,MI,"Martin, Mcknight and Clark",us_softball_league
2018/08/21,72,1985,Indiana,Edward,Lamb,1983/09/29,IN,Taylor-Alvarez,us_softball_league
2018/07/02,99,2002,Virginia,Danielle,Marks,1980/09/30,VA,Peterson and Sons,us_softball_league
2018/01/28,48,2005,Massachusetts,Chad,Williams,1982/08/16,MA,Scott and Sons,us_softball_league
2018/10/15,85,1988,New Mexico,Haley,Davidson,1977/07/26,NM,,us_softball_league
2018/08/24,40,1993,Arizona,Audrey,David,1980/10/23,AZ,"Hopkins, Barnes and Ward",us_softball_league
2018/07/07,70,1999,Alabama,Gary,Patterson,1997/08/28,AL,,us_softball_league
2018/02/10,99,1970,Texas,Kenneth,Mckinney,1963/11/11,TX,Hunter Ltd,us_softball_league
2018/09/24,37,2005,South Carolina,Darren,Green,1981/09/29,SC,"Mullen, Huffman and Vasquez",us_softball_league
2018/05/02,58,2017,Vermont,Hunter,Jacobs,1976/12/11,VT,Bruce Inc,us_softball_league
2018/03/25,97,2013,Rhode Island,Jennifer,Thomas,1972/06/19,RI,"Jackson, Carlson and Contreras",us_softball_league
2018/08/17,30,2005,Idaho,Donna,Wheeler,1987/04/10,ID,Parker Group,us_softball_league
2018/03/13,44,1987,Virginia,James,Spears,1963/03/06,VA,Williams-Stephenson,us_softball_league
2018/03/13,86,2016,Oklahoma,Jennifer,Nielsen,1985/11/18,OK,Williams-Stephenson,us_softball_league
2018/11/10,83,1997,Louisiana,Jeffrey,Shields,1980/05/25,LA,"Smith, Torres and Matthews",us_softball_league
2018/10/23,36,2009,Michigan,Jaclyn,Pollard,1971/01/15,MI,"Smith, Torres and Matthews",us_softball_league
2018/08/25,70,2004,Maryland,George,Gonzalez,1978/01/26,MD,Scott and Sons,us_softball_league
2018/05/24,31,2011,Oklahoma,Alexis,Larson,1983/07/25,OK,Scott and Sons,us_softball_league
2018/08/18,47,1976,New Hampshire,Clayton,Hancock,1963/02/11,NH,Mcdonald Inc,us_softball_league
2018/10/09,83,1989,Pennsylvania,Holly,Bautista,1974/12/28,PA,Scott and Sons,us_softball_league
2018/05/03,77,1991,Illinois,Maria,Singleton,1981/05/27,IL,"Jackson, Carlson and Contreras",us_softball_league
2018/05/06,41,1973,Mississippi,Brenda,Hughes,1982/01/05,MS,"Smith, Torres and Matthews",us_softball_league
2018/11/04,62,2014,North Dakota,Rita,Lawrence,1970/04/11,ND,Mcdonald Inc,us_softball_league
2018/03/23,83,1985,Montana,Tina,Richardson,1979/04/13,MT,"Mullen, Huffman and Vasquez",us_softball_league
2018/12/24,66,1977,Oregon,Abigail,Russell,1964/02/10,OR,"Brown, Vasquez and Sanchez",us_softball_league
2018/03/23,33,1996,Pennsylvania,,,1983/01/08,PA,Scott and Sons,us_softball_league
2018/09/22,81,2009,Florida,Thomas,Neal,1959/01/20,FL,"Brown, Vasquez and Sanchez",us_softball_league
2018/01/26,91,1983,Hawaii,Carmen,Miller,1966/08/16,HI,"Brown, Vasquez and Sanchez",us_softball_league
2018/03/03,55,1974,Nebraska,Carol,Mccoy,1966/12/30,NE,"Kelley, Gilbert and Jackson",us_softball_league
2018/03/15,52,1992,Michigan,Sherri,Green,1981/08/19,MI,Mcdonald Inc,us_softball_league
2018/09/05,90,1989,New Jersey,Julie,Taylor,1984/04/08,NJ,,us_softball_league
2018/11/02,46,1984,Rhode Island,Jennifer,Flores,1963/03/13,RI,Pearson Group,us_softball_league
2018/08/22,85,2013,Montana,Kristin,Adams,1971/12/02,MT,"Smith, Torres and Matthews",us_softball_league
2018/05/26,59,2016,Rhode Island,Derek,Hamilton,1973/10/01,RI,Williams-Stephenson,us_softball_league
2018/07/11,59,1990,Utah,Kurt,Mendez,1978/01/08,UT,Mcdonald Inc,us_softball_league
2018/01/14,70,1986,Georgia,Alicia,Russo,1968/05/02,GA,Scott and Sons,us_softball_league
2018/09/17,59,1974,Oregon,Gina,Gibson,1967/03/13,OR,Rivera Ltd,us_softball_league
2018/04/21,78,1981,Nevada,Timothy,Nguyen,1995/12/16,NV,Williams-Stephenson,us_softball_league
2018/01/26,87,1991,South Carolina,Bryan,Gardner,1965/06/21,SC,Mcdonald Inc,us_softball_league
2018/05/16,91,2018,Wisconsin,Andrew,Perez,1992/12/20,WI,Rivera-Morrow,us_softball_league
2018/04/22,70,1991,Utah,Victoria,Lawrence,1987/12/11,UT,Rivera Ltd,us_softball_league
2018/11/22,39,2007,California,Anna,Crawford,1980/01/18,CA,Parker Group,us_softball_league
2018/10/31,40,1988,Texas,Willie,Myers,1964/09/28,TX,Mcdonald Inc,us_softball_league
2018/07/25,32,2015,Wyoming,James,Hudson,1980/01/03,WY,"Martin, Mcknight and Clark",us_softball_league
2018/08/17,37,1988,Indiana,Dana,Stevens,1970/09/01,IN,"Hopkins, Barnes and Ward",us_softball_league
2018/11/07,97,1993,New Jersey,Paul,Flowers,1962/04/26,NJ,"Alvarez, Schaefer and Robertson",us_softball_league
2018/09/29,49,2003,North Dakota,Tina,Powers,1969/11/13,ND,Keller Group,us_softball_league
2018/06/01,85,1974,North Dakota,Dorothy,Mendez,1997/01/04,ND,Rivera-Morrow,us_softball_league
2018/10/02,49,2015,Washington,,,1984/05/12,WA,Keller Group,us_softball_league
2018/08/11,94,1987,California,Christopher,Cooke,1960/05/10,CA,"Smith, Torres and Matthews",us_softball_league
2018/05/16,66,2006,Delaware,Cassandra,Escobar,1994/01/04,DE,"Martin, Mcknight and Clark",us_softball_league
2018/05/23,48,1992,Michigan,Sandra,Payne,1997/07/05,MI,Parker Group,us_softball_league
2018/03/03,71,1979,Mississippi,Billy,Mack,1996/08/20,MS,Parker Group,us_softball_league
2018/05/21,44,1971,Ohio,Priscilla,Patterson,1996/09/28,OH,"Mullen, Huffman and Vasquez",us_softball_league
2018/09/25,81,1979,Nebraska,Brian,Jones,1965/06/01,NE,"Smith, Torres and Matthews",us_softball_league
2018/01/12,36,1972,Wyoming,Colleen,Bradley,1995/05/29,WY,"Smith, Torres and Matthews",us_softball_league
2018/06/23,48,1978,Alaska,Monica,Jackson,1984/03/29,AK,Mcdonald Inc,us_softball_league
2018/03/23,42,2005,Florida,Nicole,Gray,1990/01/31,FL,"Smith, Torres and Matthews",us_softball_league
2018/10/28,59,2009,Wyoming,Kyle,Hood,1978/12/10,WY,Parker Group,us_softball_league
2018/10/05,42,2012,Michigan,Jessica,Booth,1970/04/28,MI,"Kelley, Gilbert and Jackson",us_softball_league
2018/12/08,87,1980,Kansas,Karla,Stanton,1985/09/26,KS,Peterson and Sons,us_softball_league
2018/02/23,36,2006,South Carolina,Joseph,Morris,1988/11/21,SC,"Hopkins, Barnes and Ward",us_softball_league
2018/05/15,55,1991,Colorado,Nicholas,Peterson,1983/02/04,CO,"Brown, Vasquez and Sanchez",us_softball_league
2018/12/31,98,2000,Connecticut,Vanessa,Williams,1962/03/24,CT,Pearson Group,us_softball_league
2018/04/07,77,2001,Oklahoma,Michael,Conrad,1974/02/12,OK,"Kelley, Gilbert and Jackson",us_softball_league
2018/06/21,85,1999,Illinois,Kayla,Saunders,1960/02/02,IL,"Alvarez, Schaefer and Robertson",us_softball_league
2018/02/23,90,1982,New Jersey,Marilyn,Todd,1970/03/03,NJ,"Smith, Torres and Matthews",us_softball_league
2019/01/07,53,1971,Vermont,Tonya,Morrow,1983/11/22,VT,Rivera-Morrow,us_softball_league
2018/05/09,83,1971,California,Brandi,Lee,1985/11/17,CA,Williams-Stephenson,us_softball_league
2018/09/02,34,1998,Indiana,Cynthia,Coleman,1989/08/01,IN,Peterson and Sons,us_softball_league
2018/08/09,39,2003,Mississippi,Jonathon,Moyer,1986/01/18,MS,"Jackson, Carlson and Contreras",us_softball_league
2018/05/16,46,1974,Colorado,Alison,Brown,1967/05/11,CO,Bruce Inc,us_softball_league
2018/02/04,71,2004,Idaho,Brian,Lewis,1966/04/08,ID,"Martin, Mcknight and Clark",us_softball_league
2018/08/16,84,2006,Iowa,Elizabeth,Cox,1990/03/05,IA,Peterson and Sons,us_softball_league
2018/02/02,96,2012,Alabama,Ryan,Harper,1980/01/21,AL,,us_softball_league
2018/05/22,60,2018,Louisiana,Diamond,Chaney,1962/01/29,LA,Peterson and Sons,us_softball_league
2018/02/25,85,1975,New Hampshire,Laura,Sanchez,1987/08/07,NH,Williams-Stephenson,us_softball_league
2018/06/21,74,1998,Hawaii,Kimberly,Miller,1962/10/22,HI,Williams-Stephenson,us_softball_league
2018/02/07,55,1998,Illinois,Isabel,Morrison,1982/07/08,IL,Parker Group,us_softball_league
2018/08/01,34,1991,California,Ricardo,Davis,1965/06/21,CA,"Smith, Torres and Matthews",us_softball_league
2018/01/29,53,1980,North Dakota,Richard,Donaldson,1983/01/06,ND,"Mullen, Huffman and Vasquez",us_softball_league
2018/07/26,77,1988,Maryland,Austin,Erickson,1986/04/25,MD,Williams-Stephenson,us_softball_league
2018/03/24,63,1989,Minnesota,James,Copeland,1982/07/16,MN,Bruce Inc,us_softball_league
2018/08/04,90,2004,South Dakota,Darryl,Guerra,1961/05/12,SD,"Mullen, Huffman and Vasquez",us_softball_league
2018/01/19,79,1987,Ohio,Annette,Padilla,1966/10/22,OH,"Smith, Torres and Matthews",us_softball_league
2018/04/08,63,1999,Arizona,Catherine,Gonzalez,1960/08/22,AZ,Mcdonald Inc,us_softball_league
2018/06/10,53,1982,Alaska,Cassandra,Owens,1975/04/19,AK,Keller Group,us_softball_league
2018/12/15,56,1982,Maryland,Antonio,Richards,1976/10/24,MD,"Alvarez, Schaefer and Robertson",us_softball_league
2018/03/03,99,1970,Nevada,Jeremy,Soto,1984/10/20,NV,"Mullen, Huffman and Vasquez",us_softball_league
2018/01/23,70,1999,Utah,Sharon,Perez,1967/04/10,UT,Peterson and Sons,us_softball_league
2018/10/14,84,1980,New Mexico,Mark,Spencer,1982/10/25,NM,Hunter Ltd,us_softball_league
2018/02/28,52,1979,Arizona,,,1963/09/30,AZ,"Jackson, Carlson and Contreras",us_softball_league
2018/06/11,36,1981,Ohio,Jeffrey,Garcia,1996/02/06,OH,"Brown, Vasquez and Sanchez",us_softball_league
2018/11/11,67,1992,West Virginia,,,1983/06/24,WV,Scott and Sons,us_softball_league
2018/12/22,96,1998,Texas,James,Gonzalez,1970/12/22,TX,Mcdonald Inc,us_softball_league
2018/03/27,76,2005,Arkansas,Robert,Owens,1972/04/13,AR,"Mullen, Huffman and Vasquez",us_softball_league
2018/08/10,58,1991,Massachusetts,Julie,Allen,1990/03/11,MA,Parker Group,us_softball_league
2018/07/15,30,2003,Kentucky,Ryan,Hill,1986/09/08,KY,Rivera-Morrow,us_softball_league
2018/12/04,75,2007,Kentucky,Eric,Edwards,1969/10/30,KY,"Alvarez, Schaefer and Robertson",us_softball_league
2018/05/30,62,1977,Iowa,Jay,Turner,1965/03/25,IA,Taylor-Alvarez,us_softball_league
2018/08/04,82,1983,Nebraska,Craig,Andrews,1989/04/10,NE,"Hopkins, Barnes and Ward",us_softball_league
2018/07/23,75,2008,Utah,Jeffrey,Ramos,1996/02/05,UT,Mcdonald Inc,us_softball_league
2018/01/10,89,1999,North Carolina,Victoria,Jackson,1982/04/28,NC,Parker Group,us_softball_league
2018/08/31,46,1979,Wisconsin,James,Bowen,1984/08/27,WI,Scott and Sons,us_softball_league
2018/05/06,67,1976,Colorado,Sean,Williams,1986/01/22,CO,"Hopkins, Barnes and Ward",us_softball_league
2018/08/28,73,1983,Kentucky,Julia,Hansen,1975/12/31,KY,"Alvarez, Schaefer and Robertson",us_softball_league
2018/07/27,36,1982,Georgia,Emily,Bates,1972/10/13,GA,Pearson Group,us_softball_league
2018/09/19,52,1994,North Dakota,Mary,Wiggins,1959/03/15,ND,Keller Group,us_softball_league
2018/03/29,51,1997,Massachusetts,Christopher,Dickerson,1997/09/15,MA,Pearson Group,us_softball_league
2018/05/07,98,1998,Montana,Jennifer,Gilmore,1965/05/26,MT,Rivera Ltd,us_softball_league
2018/08/16,95,1971,Vermont,,,1984/04/08,VT,"Alvarez, Schaefer and Robertson",us_softball_league
2018/01/09,78,1998,Ohio,Marissa,Jacobs,1966/09/21,OH,"Jackson, Carlson and Contreras",us_softball_league
2018/05/30,81,1985,Alabama,Caitlin,Morgan,1986/03/21,AL,Rivera-Morrow,us_softball_league
2018/09/24,43,2016,Washington,Edward,Greene,1998/12/09,WA,"Kelley, Gilbert and Jackson",us_softball_league
2018/01/27,90,2002,Massachusetts,Amanda,Davis,1996/07/01,MA,"Brown, Vasquez and Sanchez",us_softball_league
2018/03/09,86,1978,Massachusetts,Yolanda,Johnson,1972/08/26,MA,Scott and Sons,us_softball_league
2018/06/26,96,1978,North Carolina,Stephen,Golden,1993/03/17,NC,Hunter Ltd,us_softball_league
2018/01/17,98,1980,Nebraska,John,Howard,1991/04/28,NE,Parker Group,us_softball_league
2018/08/15,56,2001,Ohio,Marie,Garcia,1984/06/20,OH,Parker Group,us_softball_league
2018/05/03,61,1991,Tennessee,Heather,Schaefer,1968/06/22,TN,"Alvarez, Schaefer and Robertson",us_softball_league
2018/07/26,52,2001,North Carolina,Desiree,Costa,1969/07/26,NC,Rivera Ltd,us_softball_league
2018/10/28,42,2015,Missouri,Amanda,Terry,1991/04/01,MO,"Martin, Mcknight and Clark",us_softball_league
2018/05/24,97,1983,North Carolina,Alicia,Cooper,1979/03/24,NC,Bruce Inc,us_softball_league
2019/01/01,54,1991,Texas,Ronald,Oneal,1965/12/14,TX,Scott and Sons,us_softball_league
2018/10/24,90,2015,Virginia,Derrick,Hicks,1966/06/01,VA,"Jackson, Carlson and Contreras",us_softball_league
2018/09/21,34,2003,Hawaii,Juan,Carter,1967/12/11,HI,Rivera-Morrow,us_softball_league
2018/09/30,64,1997,Ohio,Kyle,Strong,1987/05/12,OH,Rivera-Morrow,us_softball_league
2018/10/10,60,2005,California,Scott,Nicholson,1961/10/12,CA,Rivera-Morrow,us_softball_league
2018/04/26,51,2009,Hawaii,Austin,Williams,1987/06/24,HI,Keller Group,us_softball_league
2018/09/28,98,2007,North Dakota,Kimberly,Hanson,1993/04/05,ND,Rivera-Morrow,us_softball_league
2018/02/15,68,2013,Arizona,Hunter,Smith,1998/05/30,AZ,,us_softball_league
2018/08/09,35,1987,Oklahoma,Veronica,Cunningham,1989/03/14,OK,"Jackson, Carlson and Contreras",us_softball_league
2018/11/16,84,1998,Rhode Island,Scott,Cameron,1979/12/07,RI,Peterson and Sons,us_softball_league
2018/04/29,83,2009,Michigan,Victoria,Silva,1992/04/19,MI,Taylor-Alvarez,us_softball_league
2018/12/27,54,1976,Oregon,Ashley,White,1965/03/09,OR,"Smith, Torres and Matthews",us_softball_league
2018/09/16,79,2008,Rhode Island,Bradley,Lowe,1996/04/11,RI,"Martin, Mcknight and Clark",us_softball_league
2018/03/22,57,1989,Indiana,Linda,Mcguire,1985/08/29,IN,Bruce Inc,us_softball_league
2018/10/14,72,2011,Mississippi,Melody,Hart,1991/07/27,MS,Hunter Ltd,us_softball_league
2018/06/03,44,1973,Illinois,Rachel,Lin,1959/08/17,IL,"Brown, Vasquez and Sanchez",us_softball_league
2018/06/11,99,1995,Wyoming,Brittany,Dunn,1971/07/29,WY,"Hopkins, Barnes and Ward",us_softball_league
2018/12/06,47,2014,Florida,Paula,Bass,1977/06/20,FL,"Brown, Vasquez and Sanchez",us_softball_league
2018/10/03,87,2011,New Hampshire,Jeffrey,Johnson,1995/05/15,NH,Williams-Stephenson,us_softball_league
2018/09/26,65,1974,Tennessee,Lauren,Johnson,1983/01/01,TN,Mcdonald Inc,us_softball_league
2019/01/04,64,2013,New Mexico,James,Lawrence,1980/03/29,NM,"Hopkins, Barnes and Ward",us_softball_league
2018/07/26,59,2016,Mississippi,Robert,Long,1994/09/27,MS,Parker Group,us_softball_league
2018/11/28,86,1981,Colorado,Michael,Jackson,1970/04/08,CO,,us_softball_league
2018/03/17,90,1999,Delaware,Mitchell,Simmons,1962/09/13,DE,Parker Group,us_softball_league
2018/10/18,35,2018,New York,Jenny,Bell,1977/11/11,NY,"Mullen, Huffman and Vasquez",us_softball_league
2018/11/10,87,2017,Wisconsin,Cynthia,Gonzalez,1960/08/05,WI,"Kelley, Gilbert and Jackson",us_softball_league
2018/08/31,91,2008,Wyoming,Taylor,Miller,1968/12/04,WY,Hunter Ltd,us_softball_league
2018/07/28,61,2004,South Carolina,Maria,Strickland,1970/11/30,SC,"Kelley, Gilbert and Jackson",us_softball_league
2018/11/08,53,2004,New Mexico,Lisa,Smith,1965/04/08,NM,Rivera-Morrow,us_softball_league
2018/07/12,91,1998,Illinois,Stephanie,Gardner,1999/01/02,IL,Peterson and Sons,us_softball_league
2018/03/07,45,2007,West Virginia,Heather,Burns,1968/01/23,WV,"Kelley, Gilbert and Jackson",us_softball_league
2018/07/16,38,1987,Illinois,Brian,Matthews,1981/04/06,IL,Williams-Stephenson,us_softball_league
2018/10/07,73,1998,Virginia,Julie,Townsend,1996/08/06,VA,Pearson Group,us_softball_league
2018/06/15,32,1984,Idaho,Garrett,Delgado,1972/07/08,ID,Rivera-Morrow,us_softball_league
2018/10/17,90,1978,Alabama,Alicia,Salas,1995/01/28,AL,,us_softball_league
2018/10/17,67,1972,West Virginia,Hunter,Shaffer,1987/03/20,WV,"Kelley, Gilbert and Jackson",us_softball_league
2018/08/28,89,2007,Tennessee,Scott,Moss,1994/11/19,TN,,us_softball_league
2018/12/08,60,1971,Hawaii,Yvette,Vance,1998/03/10,HI,Rivera Ltd,us_softball_league
2018/01/09,78,2018,Tennessee,Terry,Thomas,1961/12/26,TN,"Martin, Mcknight and Clark",us_softball_league
2018/05/14,32,1991,Kentucky,Jenny,Martinez,1975/10/11,KY,"Hopkins, Barnes and Ward",us_softball_league
2018/05/19,43,1993,Texas,Emily,Garcia,1964/02/22,TX,Keller Group,us_softball_league
2018/12/17,81,2003,West Virginia,Mark,Perkins,1997/01/27,WV,Peterson and Sons,us_softball_league
2018/09/22,45,1977,Connecticut,Alexander,Rice,1973/02/05,CT,Rivera-Morrow,us_softball_league
2018/11/16,40,2009,Missouri,Robert,Mccann,1992/08/18,MO,Scott and Sons,us_softball_league
2018/05/14,50,1995,Mississippi,Nicole,Murray,1963/03/24,MS,"Alvarez, Schaefer and Robertson",us_softball_league
2018/09/16,54,1993,South Carolina,Denise,Miller,1997/03/15,SC,Hunter Ltd,us_softball_league
2018/04/06,44,1976,Washington,John,Mccoy,1974/10/11,WA,Pearson Group,us_softball_league
